10	3	1
20	1	3
30	1	1
40	2	1
50	2	3
60	2	2
70	3	3
80	3	4
90	4	4
100	3	5
110	4	5
120	6	5
130	7	5
140	7	6
150	9	6
160	9	8
170	13	9
180	11	10
190	14	10
200	15	10
210	16	9
220	17	11
230	17	12
240	19	13
250	22	13
260	23	13
270	24	13
280	27	15
290	28	16
300	30	17
310	32	16
320	33	19
330	36	23
340	43	25
350	40	24
360	43	25
370	49	26
380	48	28
390	49	27
400	53	29
410	58	33
420	64	30
430	63	32
440	64	32
450	67	34
460	70	33
470	74	39
480	79	35
490	78	36
500	83	37
510	84	40
520	94	42
530	92	40
540	94	42
550	98	42
560	106	48
570	107	45
580	108	46
590	114	47
600	126	48
610	120	49
620	125	51
630	135	56
640	131	57
650	138	61
660	152	63
670	144	69
680	149	69
690	161	71
700	159	72
710	170	77
720	168	77
730	172	85
740	179	77
750	182	85
760	192	82
770	190	84
780	204	85
790	199	87
800	215	87
810	211	94
820	220	90
830	224	101
840	225	92
850	242	94
860	240	94
870	253	96
880	248	106
890	253	99
900	270	100
