10	3	3
20	2	8
30	2	9
40	2	8
50	11	52
60	5	19
70	11	31
80	8	24
90	8	24
100	11	28
110	13	31
120	9	26
130	11	29
140	12	30
150	10	35
160	10	69
170	15	55
180	16	49
190	14	44
200	15	52
210	18	55
220	19	61
230	23	63
240	21	64
250	23	82
260	38	102
270	28	125
280	54	106
290	34	106
300	34	93
310	34	100
320	37	106
330	39	106
340	41	124
350	45	117
360	46	122
370	49	131
380	54	130
390	54	141
400	58	150
410	60	149
420	67	79
430	17	33
440	17	36
450	18	48
460	18	35
470	24	45
480	20	36
490	19	55
500	26	40
510	32	45
520	24	82
530	26	62
540	29	49
550	31	94
560	49	56
570	42	86
580	44	71
590	54	79
600	31	88
610	40	68
620	39	60
630	37	62
640	37	71
650	51	70
660	47	82
670	45	71
680	47	80
690	71	95
700	48	69
710	43	72
720	46	80
730	49	92
740	70	121
750	75	106
760	57	83
770	51	82
780	67	116
790	81	97
800	60	90
810	72	94
820	67	108
830	68	93
840	67	101
850	63	90
860	64	90
870	66	112
880	92	96
890	73	107
900	77	100
